CODE|DESCR|CATEGORY
1|N|DIR
2|S|DIR
3|E|DIR
4|W|DIR
5|NE|DIR
6|NW|DIR
7|SE|DIR
8|SW|DIR
11|ALY|TYPE
12|ALT|TYPE
15|ARC|TYPE
16|ARRY|TYPE
17|APTA|TYPE
18|AVA|TYPE
19|AVE|TYPE
26|BLVD|TYPE
32|BLV|TYPE
33|BSRT|TYPE
34|BYP|TYPE
36|CLLE|TYPE
37|CJA|TYPE
38|CJON|TYPE
39|CAM|TYPE
47|CARR|TYPE
48|CSWY|TYPE
51|CTR|TYPE
56|CIR|TYPE
57|CIR|TYPE
67|CORD|TYPE
69|CORD|TYPE
70|CORD|TYPE
71|CT|TYPE
73|CV|TYPE
76|CRES|TYPE
77|XING|TYPE
78|CRU|TYPE
87|DR|TYPE
93|EXP|TYPE
94|EXPY|TYPE
99|FM|TYPE
110|4WD|TYPE
112|FWY|TYPE
122|HWY|TYPE
133|I-|TYPE
138|JPTR|TYPE
146|LN|TYPE
151|LOOP|TYPE
154|MARG|TYPE
164|MTWY|TYPE
167|MRO|TYPE
178|OVPS|TYPE
179|PARK|TYPE
180|PKY|TYPE
182|PAS|TYPE
183|PSO|TYPE
185|PASS|TYPE
187|PATH|TYPE
189|PIKE|TYPE
191|PSTA|TYPE
192|PL|TYPE
193|PLZ|TYPE
202|PTE|TYPE
208|RML|TYPE
209|RMP|TYPE
210|RMP|TYPE
223|ROAD|TYPE
227|RT|TYPE
228|ROW|TYPE
229|RUE|TYPE
230|RUN|TYPE
232|RUTA|TYPE
239|SNDR|TYPE
240|SVRD|TYPE
248|SKWY|TYPE
253|SPWY|TYPE
256|SQ|TYPE
257|STHY|TYPE
258|STHY|TYPE
259|STHY|TYPE
263|ST|TYPE
268|TER|TYPE
269|THFR|TYPE
270|THWY|TYPE
272|TWHY|TYPE
273|TWHY|TYPE
274|TFWY|TYPE
275|TRL|TYPE
278|TUN|TYPE
279|TUNL|TYPE
280|TPKE|TYPE
281|UNPS|TYPE
282|USHY|TYPE
283|USHY|TYPE
286|UNRD|TYPE
288|VRDA|TYPE
289|VIA|TYPE
291|WALK|TYPE
292|WKWY|TYPE
293|WALL|TYPE
296|WAY|TYPE
302|NFD|TYPE
303|OVAL|TYPE
304|EST|TYPE
305|VLLA|TYPE
306|DRWY|TYPE
307|RDWY|TYPE
308|STRA|TYPE
309|CLUB|TYPE
